127.0.0.1 - admin [14/Jun/2024:00:00:48 -0300] "PUT /manager/text/deploy?path=%2Fwebapp&update=true HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [14/Jun/2024:00:01:51 -0300] "GET /webapp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2024:00:01:51 -0300] "GET /webapp/ HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [14/Jun/2024:00:01:51 -0300] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [14/Jun/2024:00:02:54 -0300] "GET /manager HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2024:00:02:54 -0300] "GET /manager/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2024:00:02:54 -0300] "GET /manager/html HTTP/1.1" 401 2562
0:0:0:0:0:0:0:1 - admin [14/Jun/2024:00:03:03 -0300] "GET /manager/html HTTP/1.1" 200 20074
0:0:0:0:0:0:0:1 - - [14/Jun/2024:00:03:03 -0300] "GET /manager/images/asf-logo.svg HTTP/1.1" 200 20712
0:0:0:0:0:0:0:1 - - [14/Jun/2024:00:03:03 -0300] "GET /manager/images/tomcat.svg HTTP/1.1" 200 68761
0:0:0:0:0:0:0:1 - - [14/Jun/2024:00:03:03 -0300] "GET /manager/css/manager.css HTTP/1.1" 200 2946
0:0:0:0:0:0:0:1 - admin [14/Jun/2024:00:04:18 -0300] "POST /manager/html/upload;jsessionid=EA1D8F4C050449785D38DAE7802BBE70?org.apache.catalina.filters.CSRF_NONCE=9FB6CE475D33409A9991D9A3EFDF8D89 HTTP/1.1" 200 20409
0:0:0:0:0:0:0:1 - - [14/Jun/2024:00:04:30 -0300] "GET /webapp-1.0-SNAPSHOT/ HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [14/Jun/2024:00:06:29 -0300] "GET /webapp/ HTTP/1.1" 304 -
